Chart Properties
---------------------------------------------------------------------------------
Enabled:,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Visible:,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Ambient:,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Process Color:,-65536,-16744193,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,
Ambient Color:,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,
Process Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Ambient Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Logging Process Units:,Process,Process,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
Logging Ambient Units:,°F,°F,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
---------------------------------------------------------------------------------

Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P Process,2-P Process
0,06/09/2016,2:36:38 PM,-2,1
1,06/09/2016,2:36:53 PM,-2,1
2,06/09/2016,2:37:08 PM,-2,1
3,06/09/2016,2:37:23 PM,-2,1
4,06/09/2016,2:37:38 PM,-2,1
5,06/09/2016,2:37:53 PM,-2,1
6,06/09/2016,2:38:08 PM,-2,1
7,06/09/2016,2:38:23 PM,-2,1
8,06/09/2016,2:38:38 PM,-2,1
9,06/09/2016,2:38:53 PM,-2,1
10,06/09/2016,2:39:08 PM,-2,1
11,06/09/2016,2:39:23 PM,-2,1
12,06/09/2016,2:39:38 PM,-2,1
13,06/09/2016,2:39:53 PM,-2,1
14,06/09/2016,2:40:08 PM,-2,1
15,06/09/2016,2:40:23 PM,-2,1
16,06/09/2016,2:40:38 PM,-2,1
17,06/09/2016,2:40:53 PM,-2,1
18,06/09/2016,2:41:08 PM,-2,1
19,06/09/2016,2:41:23 PM,-2,1
20,06/09/2016,2:41:38 PM,-2,1
21,06/09/2016,2:41:53 PM,-2,1
22,06/09/2016,2:42:08 PM,-2,1
23,06/09/2016,2:42:23 PM,-2,1
24,06/09/2016,2:42:38 PM,-2,1
25,06/09/2016,2:42:53 PM,-2,1
26,06/09/2016,2:43:08 PM,-2,1
27,06/09/2016,2:43:23 PM,-2,1
28,06/09/2016,2:43:38 PM,-2,1
29,06/09/2016,2:43:53 PM,-2,1
30,06/09/2016,2:44:08 PM,-2,1
31,06/09/2016,2:44:23 PM,-2,1
32,06/09/2016,2:44:38 PM,-2,1
33,06/09/2016,2:44:53 PM,-2,1
34,06/09/2016,2:45:08 PM,-2,1
35,06/09/2016,2:45:23 PM,-2,1
36,06/09/2016,2:45:38 PM,-2,1
37,06/09/2016,2:45:53 PM,-2,1
38,06/09/2016,2:46:08 PM,-2,1
39,06/09/2016,2:46:23 PM,-2,1
40,06/09/2016,2:46:38 PM,-2,1
41,06/09/2016,2:46:53 PM,-2,1
42,06/09/2016,2:47:08 PM,-2,1
43,06/09/2016,2:47:23 PM,-2,1
44,06/09/2016,2:47:38 PM,-2,1
45,06/09/2016,2:47:53 PM,-2,1
46,06/09/2016,2:48:08 PM,-2,1
47,06/09/2016,2:48:23 PM,-2,1
48,06/09/2016,2:48:38 PM,-2,1
49,06/09/2016,2:48:53 PM,-2,1
50,06/09/2016,2:49:08 PM,-2,1
51,06/09/2016,2:49:23 PM,-2,1
52,06/09/2016,2:49:38 PM,-2,1
53,06/09/2016,2:49:53 PM,-2,1
54,06/09/2016,2:50:08 PM,-2,1
55,06/09/2016,2:50:23 PM,-2,1
56,06/09/2016,2:50:38 PM,-2,1
57,06/09/2016,2:50:53 PM,-2,1
58,06/09/2016,2:51:08 PM,-2,1
59,06/09/2016,2:51:23 PM,-2,1
60,06/09/2016,2:51:38 PM,-2,1
61,06/09/2016,2:51:53 PM,-2,1
62,06/09/2016,2:52:08 PM,-2,1
63,06/09/2016,2:52:23 PM,-2,1
64,06/09/2016,2:52:38 PM,-2,1
65,06/09/2016,2:52:53 PM,-2,1
66,06/09/2016,2:53:08 PM,-2,1
67,06/09/2016,2:53:23 PM,-2,1
68,06/09/2016,2:53:38 PM,-2,1
69,06/09/2016,2:53:53 PM,-2,1
70,06/09/2016,2:54:08 PM,-2,1
71,06/09/2016,2:54:23 PM,-2,1
72,06/09/2016,2:54:38 PM,-2,1
73,06/09/2016,2:54:53 PM,-2,1
74,06/09/2016,2:55:08 PM,-2,1
75,06/09/2016,2:55:23 PM,-2,1
76,06/09/2016,2:55:38 PM,-2,1
77,06/09/2016,2:55:53 PM,-2,1
78,06/09/2016,2:56:08 PM,-2,1
79,06/09/2016,2:56:23 PM,-2,1
80,06/09/2016,2:56:38 PM,-2,1
81,06/09/2016,2:56:53 PM,-2,1
82,06/09/2016,2:57:08 PM,-2,1
83,06/09/2016,2:57:23 PM,-2,1
84,06/09/2016,2:57:38 PM,-2,1
85,06/09/2016,2:57:53 PM,-2,1
86,06/09/2016,2:58:08 PM,-2,1
87,06/09/2016,2:58:23 PM,-2,1
88,06/09/2016,2:58:38 PM,-2,1
89,06/09/2016,2:58:53 PM,-2,1
90,06/09/2016,2:59:08 PM,-2,1
91,06/09/2016,2:59:23 PM,-2,1
92,06/09/2016,2:59:38 PM,-2,1
93,06/09/2016,2:59:53 PM,-2,1
94,06/09/2016,3:00:08 PM,-2,1
95,06/09/2016,3:00:23 PM,-2,1
96,06/09/2016,3:00:38 PM,-2,1
97,06/09/2016,3:00:53 PM,-2,1
98,06/09/2016,3:01:08 PM,-2,1
99,06/09/2016,3:01:23 PM,-2,1
100,06/09/2016,3:01:38 PM,-2,1
101,06/09/2016,3:01:53 PM,-2,1
102,06/09/2016,3:02:08 PM,-2,1
103,06/09/2016,3:02:23 PM,366,1
104,06/09/2016,3:02:38 PM,-2,1
105,06/09/2016,3:02:53 PM,-2,1
106,06/09/2016,3:03:08 PM,-2,1
107,06/09/2016,3:03:23 PM,-2,1
108,06/09/2016,3:03:38 PM,-2,1
109,06/09/2016,3:03:53 PM,-2,1
110,06/09/2016,3:04:08 PM,-2,1
111,06/09/2016,3:04:23 PM,-2,1
112,06/09/2016,3:04:38 PM,-2,1
113,06/09/2016,3:04:53 PM,-2,1
114,06/09/2016,3:05:08 PM,-2,1
115,06/09/2016,3:05:23 PM,-2,1
116,06/09/2016,3:05:38 PM,-2,1
117,06/09/2016,3:05:53 PM,-2,1
118,06/09/2016,3:06:08 PM,-2,1
119,06/09/2016,3:06:23 PM,-2,1
120,06/09/2016,3:06:38 PM,-2,1
121,06/09/2016,3:06:53 PM,-2,1
122,06/09/2016,3:07:08 PM,-2,1
123,06/09/2016,3:07:23 PM,-3,1
124,06/09/2016,3:07:38 PM,-3,1
125,06/09/2016,3:07:53 PM,-3,1
126,06/09/2016,3:08:08 PM,-3,1
127,06/09/2016,3:08:23 PM,-3,1
128,06/09/2016,3:08:38 PM,-3,1
129,06/09/2016,3:08:53 PM,-3,1
130,06/09/2016,3:09:08 PM,-3,1
131,06/09/2016,3:09:23 PM,-3,1
132,06/09/2016,3:09:38 PM,-3,1
133,06/09/2016,3:09:53 PM,-2,1
134,06/09/2016,3:10:08 PM,-2,1
135,06/09/2016,3:10:23 PM,-2,1
136,06/09/2016,3:10:38 PM,-2,1
137,06/09/2016,3:10:53 PM,-2,1
138,06/09/2016,3:11:08 PM,-2,1
139,06/09/2016,3:11:23 PM,-2,1
140,06/09/2016,3:11:38 PM,-2,1
141,06/09/2016,3:11:53 PM,-2,1
142,06/09/2016,3:12:08 PM,-2,1
143,06/09/2016,3:12:23 PM,-2,1
144,06/09/2016,3:12:38 PM,-2,1
145,06/09/2016,3:12:53 PM,344,1
146,06/09/2016,3:13:08 PM,344,1
147,06/09/2016,3:13:23 PM,344,1
148,06/09/2016,3:13:38 PM,344,1
149,06/09/2016,3:13:53 PM,395,1
150,06/09/2016,3:14:08 PM,343,1
