Chart Properties
---------------------------------------------------------------------------------
Enabled:,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Visible:,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Ambient:,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Process Color:,-65536,-16744193,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,
Ambient Color:,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,
Process Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Ambient Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Logging Process Units:,Process,Process,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
Logging Ambient Units:,°F,°F,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
---------------------------------------------------------------------------------

Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P Process,2-P Process
80,06/13/2016,11:00:12 AM,-1,1
81,06/13/2016,11:00:27 AM,-1,1
82,06/13/2016,11:00:42 AM,-1,1
83,06/13/2016,11:00:57 AM,-1,1
84,06/13/2016,11:01:12 AM,-1,1
85,06/13/2016,11:01:27 AM,-1,1
86,06/13/2016,11:01:42 AM,-1,1
87,06/13/2016,11:01:57 AM,-1,1
88,06/13/2016,11:02:12 AM,-1,1
89,06/13/2016,11:02:27 AM,-1,1
90,06/13/2016,11:02:42 AM,-1,1
91,06/13/2016,11:02:57 AM,-1,1
92,06/13/2016,11:03:12 AM,-1,1
93,06/13/2016,11:03:27 AM,-1,1
94,06/13/2016,11:03:42 AM,-1,1
95,06/13/2016,11:03:57 AM,-1,1
96,06/13/2016,11:04:12 AM,-2,1
97,06/13/2016,11:04:27 AM,-2,1
98,06/13/2016,11:04:42 AM,-1,1
99,06/13/2016,11:04:57 AM,-1,1
100,06/13/2016,11:05:12 AM,-1,1
101,06/13/2016,11:05:27 AM,-1,1
102,06/13/2016,11:05:42 AM,-1,1
103,06/13/2016,11:05:57 AM,-2,1
104,06/13/2016,11:06:12 AM,-2,1
105,06/13/2016,11:06:27 AM,-2,1
106,06/13/2016,11:06:42 AM,-2,1
107,06/13/2016,11:06:57 AM,-2,1
108,06/13/2016,11:07:12 AM,-2,1
109,06/13/2016,11:07:27 AM,-1,1
110,06/13/2016,11:07:42 AM,-1,1
111,06/13/2016,11:07:57 AM,-1,1
112,06/13/2016,11:08:12 AM,-1,1
113,06/13/2016,11:08:27 AM,-1,1
114,06/13/2016,11:08:42 AM,-2,1
115,06/13/2016,11:08:57 AM,-1,1
116,06/13/2016,11:09:12 AM,-1,1
117,06/13/2016,11:09:27 AM,-1,1
118,06/13/2016,11:09:42 AM,-1,1
119,06/13/2016,11:09:57 AM,-1,1
120,06/13/2016,11:10:12 AM,-1,1
121,06/13/2016,11:10:27 AM,-1,1
122,06/13/2016,11:10:42 AM,-1,1
123,06/13/2016,11:10:57 AM,-1,2
124,06/13/2016,11:11:12 AM,-1,2
125,06/13/2016,11:11:27 AM,-1,2
126,06/13/2016,11:11:42 AM,-1,2
127,06/13/2016,11:11:57 AM,-1,2
128,06/13/2016,11:12:12 AM,-1,2
129,06/13/2016,11:12:27 AM,-1,2
130,06/13/2016,11:12:42 AM,-1,1
131,06/13/2016,11:12:57 AM,-1,1
132,06/13/2016,11:13:12 AM,-1,1
133,06/13/2016,11:13:27 AM,-2,1
134,06/13/2016,11:13:42 AM,-2,1
135,06/13/2016,11:13:57 AM,-2,1
136,06/13/2016,11:14:12 AM,-2,1
137,06/13/2016,11:14:27 AM,-2,1
138,06/13/2016,11:14:42 AM,-2,1
139,06/13/2016,11:14:57 AM,-2,1
140,06/13/2016,11:15:12 AM,-2,1
141,06/13/2016,11:15:27 AM,-2,1
142,06/13/2016,11:15:42 AM,-2,1
143,06/13/2016,11:15:57 AM,-2,1
144,06/13/2016,11:16:12 AM,-2,1
145,06/13/2016,11:16:27 AM,-2,1
146,06/13/2016,11:16:42 AM,-2,1
147,06/13/2016,11:16:57 AM,-2,1
148,06/13/2016,11:17:12 AM,-2,1
149,06/13/2016,11:17:27 AM,-2,1
150,06/13/2016,11:17:42 AM,-2,1
151,06/13/2016,11:17:57 AM,-2,1
152,06/13/2016,11:18:12 AM,-2,1
153,06/13/2016,11:18:27 AM,-2,1
154,06/13/2016,11:18:42 AM,-2,1
155,06/13/2016,11:18:57 AM,-2,1
156,06/13/2016,11:19:12 AM,-2,1
157,06/13/2016,11:19:27 AM,-2,1
158,06/13/2016,11:19:42 AM,-2,1
159,06/13/2016,11:19:57 AM,-2,1
160,06/13/2016,11:20:12 AM,-2,1
161,06/13/2016,11:20:27 AM,-2,1
162,06/13/2016,11:20:42 AM,-2,1
163,06/13/2016,11:20:57 AM,-2,1
164,06/13/2016,11:21:12 AM,-2,1
165,06/13/2016,11:21:27 AM,-2,1
166,06/13/2016,11:21:42 AM,-2,1
167,06/13/2016,11:21:57 AM,-2,1
168,06/13/2016,11:22:12 AM,-2,1
169,06/13/2016,11:22:27 AM,-2,1
170,06/13/2016,11:22:42 AM,-2,1
171,06/13/2016,11:22:57 AM,-2,1
172,06/13/2016,11:23:12 AM,-2,1
173,06/13/2016,11:23:27 AM,-2,1
174,06/13/2016,11:23:42 AM,-2,1
175,06/13/2016,11:23:57 AM,-2,1
176,06/13/2016,11:24:12 AM,-2,1
177,06/13/2016,11:24:27 AM,-2,1
178,06/13/2016,11:24:42 AM,-2,1
179,06/13/2016,11:24:57 AM,-2,1
180,06/13/2016,11:25:12 AM,-2,1
181,06/13/2016,11:25:27 AM,-2,1
182,06/13/2016,11:25:42 AM,-2,1
183,06/13/2016,11:25:57 AM,-2,1
184,06/13/2016,11:26:12 AM,-2,1
185,06/13/2016,11:26:27 AM,-2,1
186,06/13/2016,11:26:42 AM,-2,1
187,06/13/2016,11:26:57 AM,-2,1
188,06/13/2016,11:27:12 AM,-2,1
189,06/13/2016,11:27:27 AM,-2,1
190,06/13/2016,11:27:42 AM,-2,1
191,06/13/2016,11:27:57 AM,-2,1
192,06/13/2016,11:28:12 AM,723,384
193,06/13/2016,11:28:27 AM,5481,384
194,06/13/2016,11:28:42 AM,5481,5476
195,06/13/2016,11:28:57 AM,5481,5476
196,06/13/2016,11:29:12 AM,5481,5476
197,06/13/2016,11:29:27 AM,5481,5476
